Date,Open,High,Low,Close,Adj Close,Volume
2023-02-06,1890386.750000,1914156.125000,1877888.875000,1883523.125000,1883523.125000,1971649137634
2023-02-07,1883287.875000,1930208.000000,1883204.375000,1924942.125000,1924942.125000,2249596017654
2023-02-08,1924869.625000,1933780.125000,1879635.500000,1896165.125000,1896165.125000,2097191042859
2023-02-09,1896757.500000,1900828.250000,1796975.625000,1800763.500000,1800763.500000,2688271384459
2023-02-10,1800760.750000,1811914.250000,1776110.250000,1786113.250000,1786113.250000,2233831716806
2023-02-11,1786167.500000,1805802.750000,1783412.875000,1804108.750000,1804108.750000,1349210381274
2023-02-12,1804111.125000,1819791.625000,1789100.000000,1797794.750000,1797794.750000,1470455438225
2023-02-13,1797695.250000,1809542.500000,1773390.875000,1801311.000000,1801311.000000,1975646209814
2023-02-14,1800792.375000,1846251.000000,1795219.375000,1841390.375000,1841390.375000,2220244981722
2023-02-15,1841372.250000,2011257.250000,1831208.125000,2011257.250000,2011257.250000,2687704586994
2023-02-16,2011216.500000,2080025.250000,1951634.750000,1953367.250000,1953367.250000,3250998669648
2023-02-17,1953186.000000,2062451.875000,1939912.375000,2034404.000000,2034404.000000,3425106385785
2023-02-18,2034378.750000,2053694.500000,2026327.625000,2040646.375000,2040646.375000,1625263068455
2023-02-19,2040542.875000,2078060.000000,2013489.750000,2013489.750000,2013489.750000,2115081456095
2023-02-20,2014233.125000,2069020.625000,1980405.375000,2053314.875000,2053314.875000,2397191052880
2023-02-21,2053637.500000,2079636.750000,2005302.750000,2024841.500000,2024841.500000,2589606715798
2023-02-22,2024929.750000,2027815.875000,1958332.375000,2003695.875000,2003695.875000,2501632980944
2023-02-23,2003851.250000,2033561.375000,1958898.625000,1978490.125000,1978490.125000,2517883077927
2023-02-24,1978367.375000,1991410.625000,1907574.125000,1923901.875000,1923901.875000,2223591847951
2023-02-25,1924067.625000,1924905.375000,1895967.375000,1921993.000000,1921993.000000,1335273896231
2023-02-26,1921891.375000,1961717.000000,1914433.375000,1953991.500000,1953991.500000,1380373718003
2023-02-27,1954011.125000,1972367.625000,1918437.000000,1944215.875000,1944215.875000,1872960732795
2023-02-28,1944130.500000,1948099.875000,1907174.000000,1912796.625000,1912796.625000,1696953084817
2023-03-01,1913092.125000,1970337.375000,1913342.750000,1948952.250000,1948952.250000,2032715095757
2023-03-02,1948990.875000,1956585.750000,1917482.875000,1933323.375000,1933323.375000,1678922950671
2023-03-03,1933419.500000,1933640.625000,1814559.500000,1827316.125000,1827316.125000,2129630934765
2023-03-04,1827336.125000,1830788.750000,1813939.750000,1826553.750000,1826553.750000,912405621659
2023-03-05,1826618.500000,1847826.375000,1822778.000000,1833267.625000,1833267.625000,1088168833324
2023-03-06,1833374.000000,1847427.375000,1826255.250000,1835980.125000,1835980.125000,1420439634938
2023-03-07,1835862.625000,1841831.750000,1806306.500000,1823684.250000,1823684.250000,1868471097588
2023-03-08,1823411.250000,1827718.625000,1779295.000000,1780117.125000,1780117.125000,1847204904519
2023-03-09,1780281.000000,1784327.750000,1658327.250000,1670145.375000,1670145.375000,2490465605070
2023-03-10,1780281.000000,1785434.375000,1658327.250000,1670145.375000,1670145.375000,2490465605070
2023-03-11,1670471.875000,1670772.750000,1611163.750000,1655728.375000,1655728.375000,3246151149383
2023-03-12,1655780.375000,1705372.750000,1646002.375000,1691145.750000,1691145.750000,2473742410458
2023-03-13,1690786.750000,1818845.000000,1676096.625000,1817116.750000,1817116.750000,2400448695601
2023-03-14,1816498.250000,2015526.750000,1801145.500000,1994330.500000,1994330.500000,4076956027163
2023-03-15,1994679.375000,2182824.500000,1984741.125000,2036726.750000,2036726.750000,4495684947780
2023-03-16,2038772.125000,2089234.250000,1985899.125000,2016281.000000,2016281.000000,3611023080305
2023-03-17,2016073.750000,2081505.500000,2004265.875000,2069935.375000,2069935.375000,2798113926387
2023-03-18,2070128.250000,2293390.750000,2061874.750000,2263369.750000,2263369.750000,4186903258285
2023-03-19,2265366.000000,2288296.500000,2198361.250000,2225565.500000,2225565.500000,2948316894565
2023-03-20,2225864.500000,2347275.000000,2220765.250000,2314190.000000,2314190.000000,3117325633999
2023-03-21,2314431.500000,2357517.000000,2247314.000000,2291612.000000,2291612.000000,3695171623826
2023-03-22,2291707.500000,2351825.000000,2268603.000000,2329504.750000,2329504.750000,2984837423142
2023-03-23,2328091.250000,2378646.500000,2207725.000000,2253569.500000,2253569.500000,2754879764562
2023-03-24,2253117.250000,2358022.000000,2241499.500000,2330910.000000,2330910.000000,1992507419776
2023-03-25,2330098.750000,2334513.250000,2226667.250000,2264002.000000,2264002.000000,2139412513647
2023-03-26,2263512.250000,2288586.000000,2239540.500000,2264119.000000,2264119.000000,1102056416394
2023-03-27,2264186.250000,2320398.250000,2260029.500000,2305026.500000,2305026.500000,1142731268537
2023-03-28,2305005.000000,2308624.750000,2189133.000000,2231312.500000,2231312.500000,1495404473316
